"bpmag-Gmag","bpmag-rpmag","bpmag-Jmag","bpmag-Hmag","bpmag-Kmag","Gmag-rpmag","Gmag-Jmag","Gmag-Hmag","Gmag-Kmag","rpmag-Jmag","rpmag-Hmag","rpmag-Kmag","Jmag-Hmag","Jmag-Kmag","Hmag-Kmag","class"
0.7603,1.6395,3.3791,3.9341,4.4601,0.8793,2.6188,3.1738,3.6998,1.7396,2.2946,2.8206,0.555,1.081,0.526,"B"
0.3539,0.912,1.6404,1.8424,1.8024,0.5581,1.2865,1.4885,1.4485,0.7283,0.9303,0.8903,0.202,0.162,-0.04,"B"
-0.0498,0.0829,0.2885,0.4535,0.7085,0.1326,0.3383,0.5033,0.7583,0.2057,0.3707,0.6257,0.165,0.42,0.255,"B"
0.4795,1.1253,1.8167,1.9837,2.0777,0.6458,1.3372,1.5042,1.5982,0.6914,0.8584,0.9524,0.167,0.261,0.094,"B"
0.1045,0.3166,0.5142,0.5752,0.8532,0.2121,0.4098,0.4708,0.7488,0.1977,0.2587,0.5367,0.061,0.339,0.278,"B"
-0.0653,-0.2057,-0.2058,-0.1738,-0.1378,-0.1404,-0.1405,-0.1085,-0.0725,-0.0001,0.0319,0.0679,0.032,0.068,0.036,"B"
0.3337,0.8477,1.6192,1.8422,2.0292,0.514,1.2855,1.5085,1.6955,0.7715,0.9945,1.1815,0.223,0.41,0.187,"B"
0.3035,0.7569,1.4842,1.8642,2.1742,0.4534,1.1807,1.5607,1.8707,0.7273,1.1073,1.4173,0.38,0.69,0.31,"B"
0.0021,-0.0348,-0.0925,-0.1375,-0.1235,-0.0369,-0.0945,-0.1395,-0.1255,-0.0577,-0.1027,-0.0887,-0.045,-0.031,0.014,"B"
0.0056,0.0451,0.0036,-0.0434,-0.0294,0.0395,-0.002,-0.049,-0.035,-0.0415,-0.0885,-0.0745,-0.047,-0.033,0.014,"B"
-0.0672,-0.2197,-0.4457,-0.5857,-0.5997,-0.1524,-0.3785,-0.5185,-0.5325,-0.2261,-0.3661,-0.3801,-0.14,-0.154,-0.014,"B"
0.0469,0.131,0.2621,0.2181,0.2661,0.0841,0.2152,0.1712,0.2192,0.1311,0.0871,0.1351,-0.044,0.004,0.048,"B"
-0.0721,0.014,0.1844,0.3034,0.4464,0.0861,0.2565,0.3755,0.5185,0.1704,0.2894,0.4324,0.119,0.262,0.143,"B"
0.0266,0.0985,-0.1512,-0.1802,-0.1292,0.0718,-0.1779,-0.2069,-0.1559,-0.2497,-0.2787,-0.2277,-0.029,0.022,0.051,"B"
0.7037,1.5693,2.6774,3.1524,3.5564,0.8656,1.9738,2.4488,2.8528,1.1081,1.5831,1.9871,0.475,0.879,0.404,"B"
0.0556,0.1524,0.2896,0.3676,0.6356,0.0969,0.234,0.312,0.58,0.1371,0.2151,0.4831,0.078,0.346,0.268,"B"
0.1857,0.5001,0.5413,0.5433,0.5533,0.3144,0.3556,0.3576,0.3676,0.0411,0.0431,0.0531,0.002,0.012,0.01,"B"
0.0195,0.1289,0.3109,0.3389,0.3309,0.1094,0.2914,0.3194,0.3114,0.182,0.21,0.202,0.028,0.02,-0.008,"B"
0.1123,0.2976,0.4526,0.5976,0.8586,0.1853,0.3403,0.4853,0.7463,0.1551,0.3001,0.5611,0.145,0.406,0.261,"B"
0.0862,0.2805,0.1288,0.2538,0.4918,0.1943,0.0426,0.1676,0.4056,-0.1517,-0.0267,0.2113,0.125,0.363,0.238,"B"
0.0174,0.0457,0.0164,0.0364,0.0334,0.0283,-0.001,0.019,0.016,-0.0294,-0.0094,-0.0124,0.02,0.017,-0.003,"B"
0.472,1.1307,2,2.221,2.39,0.6588,1.5281,1.7491,1.9181,0.8693,1.0903,1.2593,0.221,0.39,0.169,"B"
-0.0486,-0.2356,-0.4425,-0.5245,-0.5515,-0.1871,-0.3939,-0.4759,-0.5029,-0.2068,-0.2888,-0.3158,-0.082,-0.109,-0.027,"B"
0.4468,1.0474,1.7901,1.9751,2.1461,0.6006,1.3433,1.5283,1.6993,0.7427,0.9277,1.0987,0.185,0.356,0.171,"B"
0.3946,0.9946,1.7189,1.9539,2.1699,0.6,1.3243,1.5593,1.7753,0.7243,0.9593,1.1753,0.235,0.451,0.216,"B"
0.2797,0.7602,1.3512,1.5182,1.6492,0.4806,1.0716,1.2386,1.3696,0.591,0.758,0.889,0.167,0.298,0.131,"B"
0.145,0.4118,0.6767,0.8097,1.0197,0.2668,0.5317,0.6647,0.8747,0.2649,0.3979,0.6079,0.133,0.343,0.21,"B"
0.2308,0.61,0.4386,0.6516,0.8566,0.3791,0.2078,0.4208,0.6258,-0.1713,0.0417,0.2467,0.213,0.418,0.205,"B"
-0.0246,-0.0977,-0.1724,-0.2084,-0.2074,-0.0731,-0.1478,-0.1838,-0.1828,-0.0747,-0.1107,-0.1097,-0.036,-0.035,0.001,"B"
0.0498,0.1417,0.3083,0.3343,0.4853,0.0919,0.2585,0.2845,0.4355,0.1666,0.1926,0.3436,0.026,0.177,0.151,"B"
0.6648,1.451,2.5028,2.9428,3.3468,0.7862,1.8379,2.2779,2.6819,1.0517,1.4917,1.8957,0.44,0.844,0.404,"B"
0.4947,1.1517,1.8403,2.0743,2.1823,0.657,1.3456,1.5796,1.6876,0.6886,0.9226,1.0306,0.234,0.342,0.108,"B"
0.0506,0.1315,0.6351,0.6841,0.8851,0.0809,0.5845,0.6335,0.8345,0.5036,0.5526,0.7536,0.049,0.25,0.201,"B"
0.1256,0.4026,0.6132,0.7232,0.6932,0.277,0.4877,0.5977,0.5677,0.2106,0.3206,0.2906,0.11,0.08,-0.03,"B"
0.3582,0.9082,1.609,1.795,1.91,0.55,1.2508,1.4368,1.5518,0.7008,0.8868,1.0018,0.186,0.301,0.115,"B"
0.14,0.3703,1.4495,1.5725,1.7785,0.2304,1.3095,1.4325,1.6385,1.0791,1.2021,1.4081,0.123,0.329,0.206,"B"
0.3274,0.8041,1.3788,1.6518,1.7298,0.4766,1.0514,1.3244,1.4024,0.5748,0.8478,0.9258,0.273,0.351,0.078,"B"
-0.0073,-0.052,-0.0476,-0.1066,-0.0926,-0.0447,-0.0403,-0.0993,-0.0853,0.0044,-0.0546,-0.0406,-0.059,-0.045,0.014,"B"
0.023,0.1368,0.2292,0.2792,0.4692,0.1138,0.2062,0.2562,0.4462,0.0924,0.1424,0.3324,0.05,0.24,0.19,"B"
0.1058,0.2906,0.5183,0.5603,0.6513,0.1848,0.4126,0.4546,0.5456,0.2277,0.2697,0.3607,0.042,0.133,0.091,"B"
0.1695,0.4468,0.7816,0.8256,0.9576,0.2773,0.6121,0.6561,0.7881,0.3347,0.3787,0.5107,0.044,0.176,0.132,"B"
0.0457,0.1383,0.1743,0.2713,0.4443,0.0926,0.1286,0.2256,0.3986,0.036,0.133,0.306,0.097,0.27,0.173,"B"
0.0587,0.44,0.709,1.036,1.699,0.3812,0.6502,0.9772,1.6402,0.269,0.596,1.259,0.327,0.99,0.663,"B"
0.0455,0.1039,0.1589,0.1219,0.2069,0.0584,0.1134,0.0764,0.1614,0.055,0.018,0.103,-0.037,0.048,0.085,"B"
0.0668,0.2133,0.4317,0.4847,0.4177,0.1466,0.3649,0.4179,0.3509,0.2183,0.2713,0.2043,0.053,-0.014,-0.067,"B"
-0.0671,-0.2473,-0.4474,-0.5864,-0.5984,-0.1801,-0.3803,-0.5193,-0.5313,-0.2001,-0.3391,-0.3511,-0.139,-0.151,-0.012,"B"
-0.0114,-0.0326,-0.0919,-0.1369,-0.1559,-0.0212,-0.0805,-0.1255,-0.1445,-0.0593,-0.1043,-0.1233,-0.045,-0.064,-0.019,"B"
